Title,Identifier,Format,TileMatrixSet,WGS84BoundingBox,style,TileMatrix,MinTileRow,MaxTileRow,MinTileCol,MaxTileCol,url
ADMINEXPRESS_COG (2020),ADMINEXPRESS_COG_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,16,21849,36772,21231,42948,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
ADMINEXPRESS_COG_CARTO (2020),ADMINEXPRESS_COG_CARTO_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,6,21,35,20,41,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
ADMINEXPRESS_COG_CARTO (2020),ADMINEXPRESS_COG_CARTO_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,7,42,71,41,83,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
ADMINEXPRESS_COG_CARTO (2020),ADMINEXPRESS_COG_CARTO_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,8,85,143,82,167,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
ADMINEXPRESS_COG_CARTO (2020),ADMINEXPRESS_COG_CARTO_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,9,170,287,165,335,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
ADMINEXPRESS_COG_CARTO (2020),ADMINEXPRESS_COG_CARTO_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,10,341,574,331,671,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
ADMINEXPRESS_COG_CARTO (2020),ADMINEXPRESS_COG_CARTO_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,11,682,1149,663,1342,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
ADMINEXPRESS_COG_CARTO (2020),ADMINEXPRESS_COG_CARTO_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,12,1365,2298,1326,2684,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
ADMINEXPRESS_COG_CARTO (2020),ADMINEXPRESS_COG_CARTO_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,13,2731,4596,2653,5368,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
ADMINEXPRESS_COG_CARTO (2020),ADMINEXPRESS_COG_CARTO_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,14,5462,9193,5307,10737,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
ADMINEXPRESS_COG_CARTO (2020),ADMINEXPRESS_COG_CARTO_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,15,10924,18386,10615,21474,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
ADMINEXPRESS_COG_CARTO (2020),ADMINEXPRESS_COG_CARTO_2020,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,16,21849,36772,21231,42948,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Limites administratives mises à jour en continu.,LIMITES_ADMINISTRATIVES_EXPRESS.LATEST,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,6,21,35,20,41,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Limites administratives mises à jour en continu.,LIMITES_ADMINISTRATIVES_EXPRESS.LATEST,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,7,42,71,41,83,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Limites administratives mises à jour en continu.,LIMITES_ADMINISTRATIVES_EXPRESS.LATEST,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,8,85,143,82,167,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Limites administratives mises à jour en continu.,LIMITES_ADMINISTRATIVES_EXPRESS.LATEST,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,9,170,287,165,335,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Limites administratives mises à jour en continu.,LIMITES_ADMINISTRATIVES_EXPRESS.LATEST,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,10,341,574,331,671,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Limites administratives mises à jour en continu.,LIMITES_ADMINISTRATIVES_EXPRESS.LATEST,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,11,682,1149,663,1342,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Limites administratives mises à jour en continu.,LIMITES_ADMINISTRATIVES_EXPRESS.LATEST,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,12,1365,2298,1326,2684,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Limites administratives mises à jour en continu.,LIMITES_ADMINISTRATIVES_EXPRESS.LATEST,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,13,2731,4596,2653,5368,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Limites administratives mises à jour en continu.,LIMITES_ADMINISTRATIVES_EXPRESS.LATEST,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,14,5462,9193,5307,10737,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Limites administratives mises à jour en continu.,LIMITES_ADMINISTRATIVES_EXPRESS.LATEST,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,15,10924,18386,10615,21474,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Limites administratives mises à jour en continu.,LIMITES_ADMINISTRATIVES_EXPRESS.LATEST,image/png,PM,-63.3725 -21.475655.9259 51.3121,normal,16,21849,36772,21231,42948,https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Carte des pentes pour l'agriculture sur la métropole,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,image/png,PM,-5.15047 41.32529.57054 51.0991,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,0,0,0,0,0,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Carte des pentes pour l'agriculture sur la métropole,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,image/png,PM,-5.15047 41.32529.57054 51.0991,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,1,0,0,0,1,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Carte des pentes pour l'agriculture sur la métropole,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,image/png,PM,-5.15047 41.32529.57054 51.0991,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,2,1,1,1,2,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Carte des pentes pour l'agriculture sur la métropole,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,image/png,PM,-5.15047 41.32529.57054 51.0991,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,3,2,2,3,4,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Carte des pentes pour l'agriculture sur la métropole,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,image/png,PM,-5.15047 41.32529.57054 51.0991,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,4,5,5,7,8,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Carte des pentes pour l'agriculture sur la métropole,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,image/png,PM,-5.15047 41.32529.57054 51.0991,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,5,10,11,15,16,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Carte des pentes pour l'agriculture sur la métropole,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,image/png,PM,-5.15047 41.32529.57054 51.0991,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,6,21,23,31,33,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Carte des pentes pour l'agriculture sur la métropole,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,image/png,PM,-5.15047 41.32529.57054 51.0991,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,7,42,47,62,67,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Carte des pentes pour l'agriculture sur la métropole,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,image/png,PM,-5.15047 41.32529.57054 51.0991,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,8,85,95,124,134,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Carte des pentes pour l'agriculture sur la métropole,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,image/png,PM,-5.15047 41.32529.57054 51.0991,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,9,171,191,248,269,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Carte des pentes pour l'agriculture sur la métropole,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,image/png,PM,-5.15047 41.32529.57054 51.0991,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,10,342,382,497,539,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Carte des pentes pour l'agriculture sur la métropole,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,image/png,PM,-5.15047 41.32529.57054 51.0991,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,11,684,765,994,1078,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Carte des pentes pour l'agriculture sur la métropole,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,image/png,PM,-5.15047 41.32529.57054 51.0991,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,12,1369,1530,1989,2156,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Carte des pentes pour l'agriculture sur la métropole,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,image/png,PM,-5.15047 41.32529.57054 51.0991,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,13,2738,3061,3978,4313,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Carte des pentes pour l'agriculture sur la métropole,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,image/png,PM,-5.15047 41.32529.57054 51.0991,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,14,5477,6123,7957,8627,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Carte des pentes pour l'agriculture sur la métropole,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,image/png,PM,-5.15047 41.32529.57054 51.0991,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC,15,10955,12246,15915,17255,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Cours d'eau BCAE 2021,HYDROGRAPHY.BCAE.2021,image/png,PM,-5.15047 41.32529.57054 51.0991,nolegend,6,21,23,31,33,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Cours d'eau BCAE 2021,HYDROGRAPHY.BCAE.2021,image/png,PM,-5.15047 41.32529.57054 51.0991,nolegend,7,42,47,62,67,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Cours d'eau BCAE 2021,HYDROGRAPHY.BCAE.2021,image/png,PM,-5.15047 41.32529.57054 51.0991,nolegend,8,85,95,124,134,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Cours d'eau BCAE 2021,HYDROGRAPHY.BCAE.2021,image/png,PM,-5.15047 41.32529.57054 51.0991,nolegend,9,171,191,248,269,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Cours d'eau BCAE 2021,HYDROGRAPHY.BCAE.2021,image/png,PM,-5.15047 41.32529.57054 51.0991,nolegend,10,342,382,497,539,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Cours d'eau BCAE 2021,HYDROGRAPHY.BCAE.2021,image/png,PM,-5.15047 41.32529.57054 51.0991,nolegend,11,684,765,994,1078,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Cours d'eau BCAE 2021,HYDROGRAPHY.BCAE.2021,image/png,PM,-5.15047 41.32529.57054 51.0991,nolegend,12,1369,1530,1989,2156,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Cours d'eau BCAE 2021,HYDROGRAPHY.BCAE.2021,image/png,PM,-5.15047 41.32529.57054 51.0991,nolegend,13,2738,3061,3978,4313,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Cours d'eau BCAE 2021,HYDROGRAPHY.BCAE.2021,image/png,PM,-5.15047 41.32529.57054 51.0991,nolegend,14,5477,6123,7957,8627,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Cours d'eau BCAE 2021,HYDROGRAPHY.BCAE.2021,image/png,PM,-5.15047 41.32529.57054 51.0991,nolegend,15,10955,12246,15915,17255,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Cours d'eau BCAE 2021,HYDROGRAPHY.BCAE.2021,image/png,PM,-5.15047 41.32529.57054 51.0991,nolegend,16,21911,24492,31830,34510,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Cours d'eau BCAE 2021,HYDROGRAPHY.BCAE.2021,image/png,PM,-5.15047 41.32529.57054 51.0991,nolegend,17,43822,48985,63660,69020,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2007,LANDUSE.AGRICULTURE2007,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,6,21,35,20,41,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2007,LANDUSE.AGRICULTURE2007,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,7,42,71,41,83,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2007,LANDUSE.AGRICULTURE2007,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,8,85,143,83,167,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2007,LANDUSE.AGRICULTURE2007,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,9,170,287,166,335,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2007,LANDUSE.AGRICULTURE2007,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,10,341,574,332,671,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2007,LANDUSE.AGRICULTURE2007,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,11,683,1148,664,1342,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2007,LANDUSE.AGRICULTURE2007,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,12,1367,2297,1328,2685,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2007,LANDUSE.AGRICULTURE2007,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,13,2734,4595,2656,5370,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2007,LANDUSE.AGRICULTURE2007,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,14,5469,9190,5312,10741,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2007,LANDUSE.AGRICULTURE2007,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,15,10938,18380,10625,21483,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2007,LANDUSE.AGRICULTURE2007,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,16,21876,36761,21251,42966,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2008,LANDUSE.AGRICULTURE2008,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,6,21,35,20,41,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2008,LANDUSE.AGRICULTURE2008,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,7,42,71,41,83,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2008,LANDUSE.AGRICULTURE2008,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,8,85,143,83,167,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2008,LANDUSE.AGRICULTURE2008,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,9,170,287,166,335,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2008,LANDUSE.AGRICULTURE2008,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,10,341,574,332,671,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2008,LANDUSE.AGRICULTURE2008,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,11,683,1148,664,1342,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2008,LANDUSE.AGRICULTURE2008,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,12,1367,2297,1328,2685,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2008,LANDUSE.AGRICULTURE2008,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,13,2734,4595,2656,5370,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2008,LANDUSE.AGRICULTURE2008,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,14,5469,9190,5312,10741,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2008,LANDUSE.AGRICULTURE2008,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,15,10938,18380,10625,21483,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2008,LANDUSE.AGRICULTURE2008,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,16,21876,36761,21251,42966,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2009,LANDUSE.AGRICULTURE2009,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,6,21,35,20,41,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2009,LANDUSE.AGRICULTURE2009,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,7,42,71,41,83,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2009,LANDUSE.AGRICULTURE2009,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,8,85,143,83,167,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2009,LANDUSE.AGRICULTURE2009,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,9,170,287,166,335,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2009,LANDUSE.AGRICULTURE2009,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,10,341,574,332,671,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2009,LANDUSE.AGRICULTURE2009,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,11,683,1148,664,1342,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2009,LANDUSE.AGRICULTURE2009,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,12,1367,2297,1328,2685,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2009,LANDUSE.AGRICULTURE2009,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,13,2734,4595,2656,5370,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
Registre parcellaire graphique (RPG) 2009,LANDUSE.AGRICULTURE2009,image/png,PM,-63.2635 -21.41956.0237 51.2203,normal,14,5469,9190,5312,10741,https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
